measure_id,ir_good_quality,red_good_quality,ir_min_quality,red_min_quality,ir_max_quality,red_max_quality,ir_quality_variance,red_quality_variance
measure_1,750,750,0.9917677390910797,0.9870442424231453,0.998791034509933,0.999021274165336,4.796e-06,1.310e-05
measure_10,750,750,0.9900461134609151,0.9882342484680591,0.9986570262217633,0.9964280262381797,1.147e-05,1.243e-05
measure_11,750,750,0.9921819544536314,0.9858107367713671,0.9983068404894827,0.9964777284828609,3.564e-06,9.646e-06
measure_12,750,429,0.9941994123078834,0.9662971791252639,0.9948661142091769,0.9980358781114314,4.951e-08,1.253e-04
measure_13,750,750,0.980042948347719,0.9862450221104936,0.996335525073497,0.998206640809331,3.409e-05,1.868e-05
measure_14,720,648,0.9795145799020422,0.9773346299916883,0.9999473387135496,0.9977147204346752,3.204e-05,3.981e-05
measure_15,750,750,0.9912549767831201,0.9892447190941156,0.9968346847943914,0.9962562589088503,4.535e-06,8.673e-06
measure_16,750,750,0.9945615173856623,0.9815856930497178,0.9971536807913705,0.9971534483522654,9.885e-07,3.899e-05
measure_17,453,312,0.9627212180477883,0.9506056981852035,0.997686528248269,0.9872242426118549,1.065e-04,1.136e-04
measure_18,750,750,0.9896091533196337,0.9829639417144922,0.9999236035082376,1.0007925013559353,1.165e-05,2.808e-05
measure_19,750,750,0.9929828474082968,0.9931139238930504,0.9989049560391118,0.9975765143250964,3.613e-06,2.058e-06
measure_2,750,457,0.9829911037932266,0.9669022959430199,0.9930400467129058,0.9992434907627327,1.341e-05,1.525e-04
measure_20,750,750,0.9888699195607378,0.9842713778308886,1.0001339317995972,0.9995465373298871,1.702e-05,3.198e-05
measure_3,750,750,0.9861005874997872,0.9848475005033687,0.9997478504483911,0.9986943575873453,2.672e-05,2.715e-05
measure_4,536,648,0.9630545609521278,0.9778310177991913,0.9976964441669677,0.9986537044331067,1.918e-04,4.281e-05
measure_5,750,461,0.9916594954998584,0.8947823260848258,0.9962443608840298,0.9942287508148449,2.705e-06,1.086e-03
measure_6,750,618,0.9963740503796624,0.9523565751622156,0.9996719014713484,0.9978692774018723,9.653e-07,2.051e-04
measure_7,750,750,0.9907595288486706,0.9961035674753499,0.9992130115211759,0.9981273181395085,5.761e-06,7.199e-07
measure_8,651,290,0.9674789585672433,0.8987336853113642,0.9976632790363649,0.9987605526571756,8.267e-05,9.076e-04
measure_9,750,541,0.9911779073999433,0.9521793599498961,0.9977441940637386,0.9967030581044578,3.589e-06,2.177e-04
